code,complexity,tags,code_length
"from math import sqrt a, v = map(int, input().split()) l, d, w = map(int, input().split()) def findt(u, v, a, dist): front = (v*v-u*u)/(2*a) if front > dist: return (sqrt(u*u+2*a*dist)-u)/a return (v-u)/a + (dist-front)/v def solve(a, v, l, d, w): if v <= w or 2*a*d <= w*w: return findt(0, v, a, l) after = findt(w, v, a, l-d) peak = sqrt(a*d + w*w/2) if peak > v: travel = (v*v-w*w/2)/a before = (2*v-w)/a + (d-travel)/v else: before = (2*peak-w)/a return before + after print(f'{solve(a, v, l, d, w):.8f}')",constant,"['implementation', 'math']",509
"from math import * a, vm = map(int, input().split()) l, d, vd = map(int, input().split()) if vm <= vd or sqrt(2 * a * d) <= vd: if vm ** 2 / (2 * a) >= l: ans = sqrt(2 * l / a) else: ans = vm / a + (l - vm ** 2 / (2 * a)) / vm else: s1 = (vm ** 2 - vd ** 2) / (2 * a) if s1 >= (l - d): ans = (sqrt(4 * (vd ** 2) + 8 * a * (l - d)) - 2 * vd) / (2 * a) else: ans = (vm - vd) / a + (l - d - s1) / vm v1 = sqrt((2 * a * d + vd ** 2) / 2) if v1 <= vm: ans = ans + v1 / a + (v1 - vd) / a else: s1 = d - (vm ** 2 - vd ** 2) / (2 * a) - (vm ** 2) / (2 * a) ans = ans + vm / a + (vm - vd) / a + s1 / vm print('%.12f' % ans)",constant,"['implementation', 'math']",614
"import os import sys from io import BytesIO, IOBase import heapq as h from bisect import bisect_left, bisect_right import time from types import GeneratorType BUFSIZE = 8192 class FastIO(IOBase): newlines = 0 def __init__(self, file): import os self.os = os self._fd = file.fileno() self.buffer = BytesIO() self.writable = ""x"" in file.mode or ""r"" not in file.mode self.write = self.buffer.write if self.writable else None def read(self): while True: b = self.os.read(self._fd, max(self.os.fstat(self._fd).st_size, BUFSIZE)) if not b: break ptr = self.buffer.tell() self.buffer.seek(0, 2), self.buffer.write(b), self.buffer.seek(ptr) self.newlines = 0 return self.buffer.read() def readline(self): while self.newlines == 0: b = self.os.read(self._fd, max(self.os.fstat(self._fd).st_size, BUFSIZE)) self.newlines = b.count(b""\n"") + (not b) ptr = self.buffer.tell() self.buffer.seek(0, 2), self.buffer.write(b), self.buffer.seek(ptr) self.newlines -= 1 return self.buffer.readline() def flush(self): if self.writable: self.os.write(self._fd, self.buffer.getvalue()) self.buffer.truncate(0), self.buffer.seek(0) class IOWrapper(IOBase): def __init__(self, file): self.buffer = FastIO(file) self.flush = self.buffer.flush self.writable = self.buffer.writable self.write = lambda s: self.buffer.write(s.encode(""ascii"")) self.read = lambda: self.buffer.read().decode(""ascii"") self.readline = lambda: self.buffer.readline().decode(""ascii"") sys.stdin, sys.stdout = IOWrapper(sys.stdin), IOWrapper(sys.stdout) input = lambda: sys.stdin.readline().rstrip(""\r\n"") from collections import defaultdict as dd, deque as dq, Counter as dc import string from math import sqrt def getInts(): return [int(s) for s in input().split()] def getInt(): return int(input()) def getStrs(): return [s for s in input().split()] def getStr(): return input() def listStr(): return list(input()) def getMat(n): return [getInts() for _ in range(n)] def isInt(s): return '0' <= s[0] <= '9' MOD = 10**9 + 7 def t_from_s_a_u(s,a,u): re",constant,"['implementation', 'math']",1999
"from math import * a, vm = map(int, input().split()) l, d, vd = map(int, input().split()) if vm <= vd or sqrt(2 * a * d) <= vd: if vm ** 2 / (2 * a) >= l: ans = sqrt(2 * l / a) else: ans = vm / a + (l - vm ** 2 / (2 * a)) / vm else: s1 = (vm ** 2 - vd ** 2) / (2 * a) if s1 >= (l - d): ans = (sqrt(4 * (vd ** 2) + 8 * a * (l - d)) - 2 * vd) / (2 * a) else: ans = (vm - vd) / a + (l - d - s1) / vm v1 = sqrt((2 * a * d + vd ** 2) / 2) if v1 <= vm: ans = ans + v1 / a + (v1 - vd) / a else: s1 = d - (vm ** 2 - vd ** 2) / (2 * a) - (vm ** 2) / (2 * a) ans = ans + vm / a + (vm - vd) / a + s1 / vm print('%.12f' % ans)",constant,"['implementation', 'math']",614
"from math import * a,v=list(map(int,input().split())) l,d,w=list(map(int,input().split())) if v>w: s1=w**2/2/a if d<=s1: s=min(v**2/2/a,l) t=sqrt(2*s/a)+(l-s)/v else: t=sqrt(2*s1/a) s2=min((d-s1)/2,(v**2-w**2)/(2*a)) if s2==(d-s1)/2: t+=2*(sqrt(2*(s1+s2)/a)-sqrt(2*s1/a)) else: t+=2*(v-w)/a+(d-s1-2*s2)/v s3=min((v**2-w**2)/2/a,l-d) t+=sqrt(2*(s3+s1)/a)-sqrt(2*s1/a)+(l-d-s3)/v else: s=min(v**2/2/a,l) t=sqrt(2*s/a)+(l-s)/v print(t)",constant,"['implementation', 'math']",432
"import math SPACE = ' ' def get_data(file_name): result = list() state = 0 data = list() try: for line in open(file_name, 'r').readlines(): line = line.strip() if state == 0: if line == 'Input': data = list() state = 1 elif line == 'Answer': state = 2 elif state == 1: data += list(map(int, line.split(SPACE))) state = 11 elif state == 11: data += list(map(int, line.split(SPACE))) state = 0 elif state == 2: data.append(float(line)) result.append(data) state = 0 except FileNotFoundError: print(f'File {file_name} not found.') return result def time(d=None, v=None, v0=0, steady=False): if steady: return d / v if d is None: return (v - v0) / ACCEL if v is None: v = vel(d=d, v0=v0) return (2 * d) / (v + v0) def dist(t=None, v=None, v0=0, steady=False): if steady: return v * t if t is None: return (pow(v, 2) - pow(v0, 2)) / (2 * ACCEL) return (1 / 2) * (v + v0) * t def vel(d=None, t=None, v0=0, steady=False): if steady: return d / t if d is None: return t * ACCEL - v0 return pow(2 * d * ACCEL + v0 ** 2, 1 / 2) def can_ignore_sign(v, w, d): return v <= w or d <= dist(v=w) def ignore_sign(v, w, l): dmax = dist(v=v) if l <= dmax: return time(d=l) return time(v=v) + time(d=l - dmax, v=v, steady=True) def get_time(a, v, l, d, w): global ACCEL ACCEL = a if can_ignore_sign(v, w, d): return ignore_sign(v, w, l) tmax, dmax = time(v=v), dist(v=v) tlim_max, dlim_max = time(v=v, v0=w), dist(v=v, v0=w) if dmax + dlim_max <= d: res = tmax + time(d=d - dmax - dlim_max, v=v, steady=True) + tlim_max else: res = time(v=w) + time(v=vel(d=(d - dist(v=w)) / 2, v0=w), v0=w) * 2 x = d + dist(v=v) - dist(v=w) if x >= l: res += time(d=l - d, v0=w) return res return res + time(v=v, v0=w) + time(d=l - x, v=v, steady=True) if __name__ == '__main__': a, v = map(int, input().split()) l, d, w = map(int, input().split()) print(get_time(a, v, l, d, w))",constant,"['implementation', 'math']",1843
"import math def getdt(): return map(int, input().split()) def calc(v0, v, a, x): t = (v - v0) / a x0 = v0 * t + 0.5 * a * t * t if x0 >= x: return (x, (math.sqrt(v0 * v0 + 2 * a * x) - v0) / a) return (x0, t) def go(v0, v, a, x): x0, t = calc(v0, v, a, x) return t + (x - x0) / v a, v = getdt() l, d, w = getdt() if w > v: w = v x, t = calc(0, w, a, d) if x == d: print(go(0, v, a, l)) else: print(t + go(w, v, a, (d - x) * 0.5) * 2 + go(w, v, a, l - d))",constant,"['implementation', 'math']",454
"import math def getdt(): return map(int,input().split()) def calc(v0,v,a,x): t = (v - v0)/a x0 = v0 * t + 0.5*a*t*t if x0>=x: return (x,(math.sqrt(v0*v0 + 2*a*x)-v0)/a) return (x0,t) def go(v0,v,a,x): x0,t = calc(v0,v,a,x) return t + (x-x0)/v a,v = getdt() l,d,w = getdt() if w>v: w = v x,t = calc(0,w,a,d) if x==d: print(go(0,v,a,l)) else: print(t+go(w,v,a,(d-x)*0.5) * 2 + go(w,v,a,l-d))",constant,"['implementation', 'math']",389
"a, v = list(map(int, input().split("" ""))) l, d, w = list(map(int, input().split("" ""))) if(v <= w or w * w > 2 * a * d): if(v * v > 2 * a * l): print((2 * l / a) ** 0.5) else: print(l / v + v / 2 / a) else: u = (w * w / 2 + a * d) ** 0.5 if(u > v): m = v / a + (v - w) / a + (d - (v * v / 2 / a) - (v * v - w * w) / 2 / a) / v else: m = (2 * u - w) / a if(v * v > 2 * a * (l - d + w * w / 2 / a)): print(m - w / a + (2 * (l - d + (w * w / 2 / a)) / a) ** 0.5) else: print(m - w / a + (l - d + w * w / 2 / a) / v + v / 2 / a)",constant,"['implementation', 'math']",523
"import decimal decimal.getcontext().prec = 100 a, v = map(decimal.Decimal, input().split()) l, d, w = map(decimal.Decimal, input().split()) def DecimalPow(a, b): return decimal.Decimal(a) ** decimal.Decimal(b) def getLastT(v1, dist): t1 = (v - v1) / a d1 = v1 * t1 + decimal.Decimal(0.5) * a * DecimalPow(t1, 2) if d1 >= dist: return (-v1 + (v1 ** decimal.Decimal(2) + 2 * a * dist) ** decimal.Decimal(0.5)) / a t2 = (dist - d1) / v return t1 + t2 if w >= v: t1 = v / a if decimal.Decimal(0.5) * a * (t1 ** decimal.Decimal(2)) <= l: t2 = (l - decimal.Decimal(0.5) * a * (t1 ** decimal.Decimal(2))) / v else: t1 = (decimal.Decimal(2) * l / a) ** decimal.Decimal(0.5) t2 = 0 t = t1 + t2 print('{t:.5f}'.format(t = t)) elif (w ** decimal.Decimal(2)) / (decimal.Decimal(2) * a) >= d: t = getLastT(0, l) print('{t:.5f}'.format(t = t)) elif (v ** decimal.Decimal(2) - 0) / (2 * a) + (v ** decimal.Decimal(2) - w ** decimal.Decimal(2)) / (decimal.Decimal(2) * a) >= d: t2 = -w / a + ((w ** decimal.Decimal(2)) / (2 * (a ** decimal.Decimal(2))) + d / a) ** decimal.Decimal(0.5) t1 = w / a + t2 t3 = getLastT(w, l - d) t = t1 + t2 + t3 print('{t:.5f}'.format(t = t)) else: t1 = v / a t3 = (v - w) / a t2 = (d - ((v ** decimal.Decimal(2) - 0) / (decimal.Decimal(2) * a) + (v ** decimal.Decimal(2) - w ** decimal.Decimal(2)) / (decimal.Decimal(2) * a))) / v t4 = getLastT(w, l - d) t = t1 + t2 + t3 + t4 print('{t:.5f}'.format(t = t))",constant,"['implementation', 'math']",1423
